NOME;ANO;IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;PONTO_VIRADA;IDADE_ALUNO;PEDRA
ALUNO-246;2020;9.50002;8.3;6.875;8.0;7.083333333333333;7.666666666666666;5.0;7.639168666666666;Não;10;Ametista
ALUNO-251;2020;8.500020000000001;8.9;7.5;10.0;7.291666666666667;7.333333333333333;10.0;8.575835333333334;Não;9;Topázio
ALUNO-259;2020;9.16668;9.1;7.5;7.666666666666667;8.75;9.2916725;10.0;8.753335833333333;Sim;17;Topázio
ALUNO-261;2020;9.16668;8.8;7.5;6.333333333333333;7.5;7.79167;2.5;7.251668666666667;Não;16;Ágata
ALUNO-262;2020;7.91667;9.2;5.0;6.666666666666667;9.0625;9.250005;10.0;8.221251333333335;Sim;15;Ametista
ALUNO-263;2020;9.58335;9.5;6.875;6.333333333333333;8.958333333333332;8.388893333333336;10.0;8.386113666666667;Não;15;Ametista
ALUNO-265;2020;8.75001;10.0;6.875;6.0;8.125;7.777783333333335;5.0;7.630557666666667;Não;15;Ametista
ALUNO-266;2020;8.500020000000001;8.9;5.625;8.5;8.4375;8.0;10.0;8.336252;Não;9;Ametista
ALUNO-267;2020;9.16668;9.7;5.625;8.0;8.958333333333334;9.777786666666666;5.0;8.370558666666668;Sim;14;Ametista
ALUNO-269;2020;7.50002;8.6;7.5;5.75;7.291666666666667;7.5;5.0;7.099168666666667;Não;11;Ágata
ALUNO-270;2020;6.66667;4.2;4.375;8.666666666666666;8.125;8.500003333333334;10.0;7.1900010000000005;Não;11;Ágata
ALUNO-273;2020;9.000020000000001;4.4;7.5;0.0;7.291666666666667;4.388883333333333;2.5;4.386945333333334;Não;14;Quartzo
ALUNO-274;2020;7.91667;5.6;7.5;3.6666666666666665;7.291666666666667;7.444443333333334;5.0;6.113055666666667;Não;16;Ágata
ALUNO-275;2020;10.00002;5.2;7.5;4.333333333333333;6.09375;5.666665;10.0;6.399376666666667;Não;13;Ágata
ALUNO-277;2020;9.50002;8.4;5.625;10.0;7.708333333333334;7.777773333333332;5.0;8.018889999999999;Não;12;Ametista
ALUNO-278;2020;8.75001;9.6;9.375;7.333333333333333;8.749999999999998;8.333333333333334;5.0;8.240834333333334;Não;17;Ametista
ALUNO-280;2020;8.500020000000001;6.2;5.0;6.5;6.5625;8.0;5.0;6.6462520000000005;Não;10;Ágata
ALUNO-284;2020;7.91667;9.9;7.5;7.666666666666667;7.96875;7.7500025;5.0;7.901875833333333;Não;14;Ametista
