NOME;FASE;TURMA;ANO_INGRESSO;BOLSISTA;INDE;CG;CF;CT;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;NOTA_PORT;NOTA_MAT;NOTA_ING;QTD_AVAL;IPP;REC_AVA_1;REC_AVA_2;REC_AVA_3;REC_AVA_4;INDICADO_BOLSA;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;ANO
ALUNO-257;2.0;M;2022.0;Não;7.585228383838384;281.0;43.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.585858585858585;7.5;8.5;7.5;9.5;;3.0;6.458333333333334;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;6.611106666666666;5.0;Fase 3 (7º e 8º ano);2022
ALUNO-258;0.0;N;2021.0;Não;5.790196511753241;751.0;182.0;7.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.916679999999999;5.72182089209953;4.375;5.666666666666666;5.5;5.833333333333333;;2.0;5.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;6.416655;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-260;0.0;L;2021.0;Não;7.56313707440925;288.0;81.0;7.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.607340372046254;7.5;7.5;8.333333333333334;6.666666666666667;;2.0;6.25;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7.833335;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-262;7.0;A;2017.0;Sim;7.054851281182869;469.0;8.0;3.0;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;5.245783628136569;6.25;6.844444444444444;6.333333333333333;4.466666666666666;9.733333333333333;4.0;7.8125;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Não;Não;6.777773333333332;10.0;Fase 7 (3º EM);2022
ALUNO-263;7.0;A;2016.0;Sim;6.591127006535949;629.0;13.0;6.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;0.0;7.947303921568628;5.625;5.577777777777778;5.833333333333333;3.966666666666667;6.933333333333334;4.0;8.125;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;Não;7.555553333333333;10.0;Fase 7 (3º EM);2022
ALUNO-264;1.0;D;2022.0;Não;7.035319904761904;478.0;125.0;10.0;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;6.773809523809523;7.5;6.75;5.0;8.5;;3.0;6.25;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7.27778;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-266;2.0;D;2019.0;Não;7.834006201914523;191.0;31.0;4.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.13529767623928;5.625;7.0;7.333333333333333;6.666666666666667;;3.0;6.666666666666666;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Sim;8.38889;10.0;Fase 2 (5º e 6º ano);2022
ALUNO-267;4.0;P;2018.0;Sim;7.798470369565218;200.0;19.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.72463768115942;5.625;7.866666666666667;9.333333333333334;8.0;6.266666666666667;4.0;7.34375;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;7.8333325;5.0;Fase 6 (2º EM);2022
ALUNO-268;0.0;B;2022.0;Não;8.000002;143.0;40.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;10.0;6.875;7.25;7.5;7.0;;2.0;5.625;Mantido na Fase atual;Mantido na Fase atual;;;Não;Sim;9.5;5.0;Fase 1 (4º ano);2022
ALUNO-272;1.0;D;2022.0;Não;7.725002;228.0;59.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;10.0;5.0;6.0;5.0;7.0;;3.0;6.25;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7.5;10.0;Fase 1 (4º ano);2022
