INSTITUICAO_ENSINO_ALUNO;NOME;IDADE_ALUNO;ANOS_PM;FASE_TURMA;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO
Escola Pública;ALUNO-1173;15;1;5B;Não;4.420833666666667;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;2.0;3.75;0.0;6.875;5.833333333333335;10.0;2020
Escola Pública;ALUNO-1174;15;1;5F;Sim;7.3906255;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.08333;7.0;6.875;5.0;8.28125;8.8333375;10.0;2020
Escola Pública;ALUNO-1175;10;0;1K;Não;5.367224;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;5.1;7.5;0.0;7.916666666666668;7.277776666666666;5.0;2020
Escola Pública;ALUNO-1176;15;3;5B;Não;8.233335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;8.0;8.75;6.333333333333333;9.166666666666666;8.500003333333334;10.0;2020
Escola Pública;ALUNO-1178;13;1;2M;Não;5.692918;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;3.1;6.875;4.25;7.1875;7.58333;5.0;2020
Escola Pública;ALUNO-1181;10;1;0D;Não;7.745836000000001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;10.0;5.625;10.0;2.5;7.66667;5.0;2020
Escola Pública;ALUNO-1187;13;1;2G;Não;7.060279333333334;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;8.1;7.5;4.5;8.125;7.888886666666667;5.0;2020
Escola Pública;ALUNO-1188;17;1;7A;Não;5.461458666666667;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;1.0;7.5;4.333333333333333;7.03125;5.75;10.0;2020
UNISA;ALUNO-1189;19;1;8A;;9.218335;A;Topázio;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.58335;10.0;7.5;9.4;0.0;0.0;10.0;2020
Escola Pública;ALUNO-1190;11;1;2N;Não;8.100557333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;9.6;6.875;8.0;6.875;6.777776666666665;10.0;2020
