NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-1175;1.0;J;Escola Pública;Veterano;Ágata;5.915;8.0;6.3;7.5;2.2;8.4;Não avaliado;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1176;5.0;B;Rede Decisão;Veterano;Ametista;8.003;9.2;6.9;8.1;8.5;8.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.3;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-1181;1.0;F;Escola Pública;Veterano;Ametista;7.961;9.0;9.6;5.6;7.6;8.1;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.7;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1182;0.0;L;Escola Pública;Ingressante;Ametista;7.006;7.4;8.3;7.5;4.4;6.6;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.6;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1183;1.0;B;Escola Pública;Ingressante;Ametista;7.614;8.5;9.2;7.5;6.4;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1190;2.0;M;Escola Pública;Veterano;Ametista;7.554;8.5;8.8;7.5;6.1;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.3;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1191;3.0;A;Rede Decisão;Ingressante;Quartzo;4.615;7.5;2.5;4.4;1.9;7.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;4.2;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1195;3.0;B;Escola Pública;Veterano;Topázio;8.322;9.2;8.6;7.5;7.4;7.9;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8.3;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1196;7.0;A;Escola Pública;Ingressante;Ametista;7.892;9.2;6.9;7.5;6.1;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;9.0;10.0;ERRO;0.0;2021
ALUNO-1197;7.0;A;Rede Decisão;Veterano;Ametista;8.04;8.3;8.3;7.5;7.8;7.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;7.3;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-1198;2.0;J;Escola Pública;Veterano;Quartzo;4.814;9.5;3.3;5.0;2.4;6.7;Alocado em Fase anterior;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.3;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1199;0.0;S;Escola Pública;Ingressante;Ametista;7.025;8.5;8.3;7.5;4.9;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.7;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-1201;7.0;A;Rede Decisão;Veterano;Ametista;7.031;7.1;6.1;5.6;6.5;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;7.1;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-1204;1.0;G;Escola Pública;Ingressante;Topázio;8.797;10.0;9.6;7.5;6.9;8.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Sim;9.6;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-1205;2.0;A;Escola Pública;Veterano;Ametista;8.04;8.5;9.2;7.5;5.5;7.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.9;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1206;0.0;T;Escola Pública;Ingressante;Topázio;8.871;8.5;10.0;7.5;7.6;8.1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9.7;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1210;0.0;L;Escola Pública;Ingressante;Topázio;8.25;8.0;10.0;7.5;6.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.0;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1211;0.0;L;Escola Pública;Ingressante;Ágata;6.748;8.4;6.7;7.5;4.8;6.6;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.1;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1212;1.0;G;Escola Pública;Ingressante;Ágata;5.703;9.0;4.2;6.3;3.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.2;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1214;1.0;M;Escola Pública;Ingressante;Ametista;7.496;10.0;10.0;7.5;3.0;8.1;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.2;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1215;1.0;B;Escola Pública;Ingressante;Ametista;7.401;9.5;10.0;2.5;6.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
